ID;ID_MEDICO;VISITADO
1258;1440;NÃO
1259;1441;NÃO
1260;1442;NÃO
1261;1443;NÃO
1262;1444;NÃO
1263;1445;NÃO
1264;1446;NÃO
1265;1447;NÃO
1266;1448;NÃO
1267;1449;NÃO
1268;1450;NÃO
1269;1451;NÃO
1270;1452;NÃO
1271;1453;NÃO
1272;1454;NÃO
1273;1455;NÃO
1274;1456;NÃO
1275;1457;SIM
1276;1458;NÃO
1277;1459;NÃO
1278;1460;NÃO
1279;1461;NÃO
1280;1462;NÃO
1281;1463;NÃO
1282;1464;NÃO
1283;1465;NÃO
1284;1466;NÃO
1285;1467;NÃO
1286;1468;NÃO
1287;1469;NÃO
1288;1470;NÃO
1289;1471;NÃO
1290;1472;NÃO
1291;1473;NÃO
1292;1474;NÃO
1293;1475;NÃO
1294;1476;NÃO
1295;1477;NÃO
1296;1478;NÃO
1297;1479;NÃO
1298;1480;NÃO
1299;1481;NÃO
1300;1482;NÃO
1301;1483;NÃO
1302;1484;NÃO
1303;1485;NÃO
1304;1486;NÃO
1305;1487;NÃO
1306;1488;NÃO
1307;1489;NÃO
1308;1490;NÃO
1309;1491;NÃO
1310;1492;NÃO
1311;1493;NÃO
1312;1494;NÃO
1313;1495;NÃO
1314;1496;NÃO
1315;1497;NÃO
1316;1498;NÃO
1317;1499;NÃO
1318;1500;NÃO
1319;1501;NÃO
1320;1502;NÃO
1321;1503;NÃO
1322;1504;NÃO
1323;1505;NÃO
1324;1506;NÃO
1325;1507;NÃO
1326;1508;NÃO
1327;1509;NÃO
1328;1510;NÃO
1329;1511;NÃO
1330;1512;NÃO
1331;1513;NÃO
1332;1514;NÃO
1333;1515;SIM
1334;1516;NÃO
1335;1517;NÃO
1336;1518;NÃO
1337;1519;NÃO
1338;1520;NÃO
1339;1521;NÃO
1340;1522;NÃO
1341;1523;NÃO
1342;1524;NÃO
1343;1525;NÃO
1344;1526;NÃO
1345;1527;NÃO
1346;1528;NÃO
1347;1529;NÃO
1348;1530;NÃO
